Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.1,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.10,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.11,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.12,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.13,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.14,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.15,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.16,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.17,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.18,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.19,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.2,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.20,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.21,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.22,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.23,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.24,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.25,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.26,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.27,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.28,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.29,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.3,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.30,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.4,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.5,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.6,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.7,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.8,3.01.1,3.01,NA
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.9,3.01.1,3.01,NA
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.1,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.10,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.11,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.12,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.13,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.14,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.15,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.16,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.17,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.18,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.19,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.2,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.20,3.02.1,3.02,abaxial
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.21,3.02.1,3.02,abaxial
